datetime,open,high,low,close,volume
2025-05-28 09:15:00,100.0,102.4,91.55,97.41,198506902
2025-05-29 09:15:00,97.41,98.6,94.0,95.07,23307797
2025-05-30 09:15:00,95.11,97.0,93.4,93.77,13886981
2025-06-02 09:15:00,93.7,94.0,89.15,92.66,15830124
2025-06-03 09:15:00,93.5,94.45,91.69,92.03,6506120
2025-06-04 09:15:00,92.2,98.97,90.69,97.21,38817533
2025-06-05 09:15:00,98.02,103.2,98.0,98.35,38905891
2025-06-06 09:15:00,99.0,100.08,96.33,98.3,15934867
2025-06-09 09:15:00,98.51,104.65,98.2,103.57,36026164
2025-06-10 09:15:00,104.4,106.9,102.52,104.53,24963579
2025-06-11 09:15:00,104.29,106.96,102.68,105.68,21827638
2025-06-12 09:15:00,105.9,108.25,101.66,102.3,15755211
2025-06-13 09:15:00,99.05,103.88,99.05,101.94,16468699
2025-06-16 09:15:00,103.4,109.0,102.5,104.49,43166181
2025-06-17 09:15:00,105.2,107.0,101.15,101.57,19754270
2025-06-18 09:15:00,102.0,104.68,101.55,101.91,11830435
2025-06-19 09:15:00,102.35,105.6,99.1,99.95,18253799
2025-06-20 09:15:00,100.0,102.5,99.5,101.97,11236341
2025-06-23 09:15:00,100.95,101.85,99.0,99.51,6298684
2025-06-24 09:15:00,101.0,101.67,97.72,98.11,9132319
2025-06-25 09:15:00,99.0,105.76,98.55,104.1,24367670
2025-06-26 09:15:00,105.4,106.75,102.4,102.67,8620556
2025-06-27 09:15:00,103.4,108.37,102.51,106.79,23366421
2025-06-30 09:15:00,107.7,111.35,104.6,105.16,22201435
2025-07-01 09:15:00,105.89,106.6,103.38,104.39,9128463
2025-07-02 09:15:00,104.9,105.24,102.11,102.68,6880420
2025-07-03 09:15:00,103.01,103.59,101.8,102.06,5868824
2025-07-04 09:15:00,102.15,104.85,101.88,103.23,7689866
2025-07-07 09:15:00,103.03,104.45,102.25,102.47,3906340
2025-07-08 09:15:00,104.5,113.9,104.25,112.4,91100804
2025-07-09 09:15:00,113.0,117.17,111.8,116.49,47589100
2025-07-10 09:15:00,116.0,117.89,113.8,115.58,23183332
2025-07-11 09:15:00,115.8,120.0,115.02,119.25,31767596
2025-07-14 09:15:00,119.5,119.99,115.65,117.28,20208129
2025-07-15 09:15:00,117.59,120.39,116.72,119.0,15697221
2025-07-16 09:15:00,119.38,123.3,118.9,122.84,24713970
2025-07-17 09:15:00,123.7,123.7,120.0,121.45,16499120
2025-07-18 09:15:00,122.0,126.16,121.6,124.28,19601051
2025-07-21 09:15:00,124.96,125.18,122.92,124.54,7968172
2025-07-22 09:15:00,125.25,128.3,124.7,126.04,13127139
2025-07-23 09:15:00,126.95,131.4,126.0,130.71,16142941
2025-07-24 09:15:00,131.24,133.4,128.5,132.32,15354209
2025-07-25 09:15:00,131.9,132.2,130.0,130.87,13837203
2025-07-28 09:15:00,130.99,132.28,125.5,126.15,14586629
2025-07-29 09:15:00,126.0,132.6,125.2,131.79,14235397
2025-07-30 09:15:00,132.5,134.4,130.5,133.2,8706302
2025-07-31 09:15:00,130.5,140.0,130.5,138.13,22973671
2025-08-01 09:15:00,139.45,143.0,138.3,141.09,17161028
2025-08-04 09:15:00,142.0,143.8,139.33,143.15,12376671
2025-08-05 09:15:00,143.2,145.17,135.88,136.36,14609854
2025-08-06 09:15:00,137.21,138.7,133.84,135.72,9114702
2025-08-07 09:15:00,135.5,137.5,133.38,137.02,7948769
2025-08-08 09:15:00,137.62,137.83,134.3,134.69,5113505
2025-08-11 09:15:00,135.19,136.75,132.5,133.31,5296076
2025-08-12 09:15:00,136.0,138.49,133.46,134.0,18891747
2025-08-13 09:15:00,136.41,139.2,134.3,135.06,11063892
2025-08-14 09:15:00,136.15,138.99,134.02,134.51,9601803
2025-08-18 09:15:00,137.99,141.99,136.57,139.63,13397837
2025-08-19 09:15:00,140.0,156.9,139.55,154.47,61004747
2025-08-20 09:15:00,156.0,156.78,146.2,148.27,25525612
2025-08-21 09:15:00,149.1,150.0,143.9,144.73,7910762
2025-08-22 09:15:00,144.75,149.94,142.62,146.58,13049838
2025-08-25 09:15:00,146.8,151.4,141.44,142.47,13404652
2025-08-26 09:15:00,142.44,144.34,139.22,141.39,17584532
2025-08-28 09:15:00,140.15,142.25,138.61,140.11,8761871
2025-08-29 09:15:00,140.93,142.8,139.17,139.58,5792910
2025-09-01 09:15:00,140.0,141.5,136.21,137.6,7365290
2025-09-02 09:15:00,138.75,140.79,136.2,136.77,6683290
2025-09-03 09:15:00,137.5,141.5,135.16,140.65,8570446
2025-09-04 09:15:00,143.25,145.09,137.1,137.85,8901309
2025-09-05 09:15:00,138.65,140.0,135.61,136.62,5532345
2025-09-08 09:15:00,137.0,143.7,136.54,142.79,8009384
2025-09-09 09:15:00,142.9,142.95,139.63,141.66,6163392
2025-09-10 09:15:00,142.3,146.1,140.01,141.7,12803237
2025-09-11 09:15:00,142.05,142.95,139.5,139.79,4661931
2025-09-12 09:15:00,140.3,145.3,139.81,144.27,11863133
2025-09-15 09:15:00,145.5,149.4,143.21,148.3,13194088
2025-09-16 09:15:00,148.84,150.19,144.57,144.93,7013483
2025-09-17 09:15:00,145.9,155.75,145.9,154.38,38571196
2025-09-18 09:15:00,154.95,156.91,152.45,154.38,14273079
2025-09-19 09:15:00,153.71,159.9,153.17,157.0,12555279
2025-09-22 09:15:00,156.7,158.1,152.25,153.99,5688279
2025-09-23 09:15:00,154.1,164.5,153.77,159.87,28617373
2025-09-24 09:15:00,160.5,163.4,159.83,161.5,9962052
2025-09-25 09:15:00,162.0,162.5,157.25,160.71,7203504
2025-09-26 09:15:00,159.1,159.64,155.61,157.48,13003984
2025-09-29 09:15:00,157.65,161.0,154.49,159.18,15027438
2025-09-30 09:15:00,159.2,160.0,155.89,157.47,4241117
2025-10-01 09:15:00,157.4,161.0,156.8,159.1,6627496
2025-10-03 09:15:00,159.48,164.45,158.46,163.02,11953827
2025-10-06 09:15:00,163.47,164.4,160.45,161.33,6450140
2025-10-07 09:15:00,161.9,163.07,160.53,161.32,3188548
2025-10-08 09:15:00,161.2,161.45,157.1,159.79,6230089
2025-10-09 09:15:00,160.0,160.3,155.21,156.86,3607568
