datetime,open,high,low,close,volume
2023-11-10 09:15:00,71.0,74.8,68.55,69.05,68973900
2023-11-13 09:15:00,71.5,72.15,70.55,71.75,7464529
2023-11-15 09:15:00,72.0,72.45,69.1,69.4,4886862
2023-11-16 09:15:00,69.5,70.5,69.0,69.35,2535167
2023-11-17 09:15:00,69.0,69.45,68.1,68.8,3967090
2023-11-20 09:15:00,70.7,71.65,69.3,69.75,6930010
2023-11-21 09:15:00,70.45,70.6,68.9,69.15,3308199
2023-11-22 09:15:00,68.85,69.1,67.5,68.2,2816907
2023-11-23 09:15:00,68.0,69.7,68.0,68.3,1528536
2023-11-24 09:15:00,68.5,69.0,68.0,68.15,825248
2023-11-28 09:15:00,68.25,69.1,68.05,69.0,2472702
2023-11-29 09:15:00,69.1,69.45,68.45,68.95,3059134
2023-11-30 09:15:00,68.95,69.25,68.25,68.7,2445071
2023-12-01 09:15:00,68.7,69.3,67.6,67.8,2120391
2023-12-04 09:15:00,68.45,69.5,67.7,68.8,2446943
2023-12-05 09:15:00,69.5,69.5,68.25,68.45,1416507
2023-12-06 09:15:00,68.8,69.2,68.0,68.45,1699181
2023-12-07 09:15:00,68.95,68.95,68.1,68.25,933326
2023-12-08 09:15:00,68.45,68.8,67.65,67.7,1850137
2023-12-11 09:15:00,67.95,68.0,66.05,66.65,2656124
2023-12-12 09:15:00,66.85,67.5,66.6,67.05,3410397
2023-12-13 09:15:00,67.4,67.6,66.7,66.85,1964348
2023-12-14 09:15:00,67.4,67.75,66.75,66.85,2480155
2023-12-15 09:15:00,67.4,71.85,67.05,70.5,9084073
2023-12-18 09:15:00,70.55,74.25,69.8,72.2,7998791
2023-12-19 09:15:00,72.9,75.4,72.45,73.85,11083362
2023-12-20 09:15:00,74.05,74.5,67.9,68.5,6122234
2023-12-21 09:15:00,67.5,69.95,67.5,69.6,3244112
2023-12-22 09:15:00,70.25,71.2,68.75,69.05,2003403
2023-12-26 09:15:00,69.9,70.2,69.05,69.65,929761
2023-12-27 09:15:00,69.7,71.65,68.0,69.65,3800842
2023-12-28 09:15:00,70.0,70.2,68.5,68.85,1060276
2023-12-29 09:15:00,69.3,69.75,68.4,68.7,1116464
2024-01-01 09:15:00,68.8,69.75,68.4,68.9,969466
2024-01-02 09:15:00,69.25,70.0,68.5,69.55,1639119
2024-01-03 09:15:00,69.75,71.7,68.9,70.4,1624139
2024-01-04 09:15:00,70.15,73.7,69.7,72.35,6916541
2024-01-05 09:15:00,71.15,73.4,69.65,70.55,5005428
2024-01-08 09:15:00,72.7,72.7,69.4,69.65,3118940
2024-01-09 09:15:00,70.15,70.5,69.3,69.8,1873293
2024-01-10 09:15:00,69.75,70.85,68.75,70.65,2148016
2024-01-11 09:15:00,70.9,73.2,70.65,71.75,4315406
2024-01-12 09:15:00,72.25,72.7,71.15,71.55,2077003
2024-01-15 09:15:00,71.9,73.95,70.7,71.55,3393815
2024-01-16 09:15:00,71.7,72.0,69.5,70.2,1648955
2024-01-17 09:15:00,70.0,71.8,69.35,69.9,1729192
2024-01-18 09:15:00,69.45,70.45,67.75,69.35,2035311
2024-01-19 09:15:00,70.0,72.75,69.65,71.05,1944288
2024-01-23 09:15:00,70.05,71.35,69.15,69.25,1201491
2024-01-24 09:15:00,69.35,69.9,68.4,69.05,1287414
2024-01-25 09:15:00,69.05,70.0,69.05,69.5,883764
2024-01-29 09:15:00,69.75,70.75,69.35,69.55,1042066
2024-01-30 09:15:00,69.4,70.0,69.05,69.15,700444
2024-01-31 09:15:00,69.25,69.6,68.9,69.25,1079246
2024-02-01 09:15:00,69.45,69.5,68.6,68.95,852796
2024-02-02 09:15:00,69.45,71.75,68.95,69.2,3183121
2024-02-05 09:15:00,69.95,70.3,68.85,69.45,1609616
2024-02-06 09:15:00,70.65,71.7,69.35,70.45,2297209
2024-02-07 09:15:00,71.05,81.2,70.1,78.65,24420142
2024-02-08 09:15:00,80.0,82.4,77.2,78.25,13155666
2024-02-09 09:15:00,78.0,78.0,63.25,65.45,22745300
2024-02-12 09:15:00,67.95,68.95,62.65,63.2,8321231
2024-02-13 09:15:00,64.75,64.9,62.0,64.25,3231239
2024-02-14 09:15:00,63.25,64.9,63.2,64.7,2080590
2024-02-15 09:15:00,65.2,66.15,64.95,65.4,1455485
2024-02-16 09:15:00,65.85,66.1,63.45,63.85,3031964
2024-02-19 09:15:00,64.4,65.35,64.3,64.85,1461687
2024-02-20 09:15:00,65.1,65.2,64.1,64.5,1043197
2024-02-21 09:15:00,65.0,65.3,64.2,64.5,1248762
2024-02-22 09:15:00,64.55,64.95,63.75,64.75,848188
2024-02-23 09:15:00,64.95,65.3,64.4,64.55,1124606
2024-02-26 09:15:00,64.6,64.85,63.55,63.8,1406229
2024-02-27 09:15:00,64.25,64.25,62.3,62.5,1280932
2024-02-28 09:15:00,63.0,63.75,61.55,62.2,1930550
2024-02-29 09:15:00,62.25,62.75,61.0,62.15,1102749
2024-03-01 09:15:00,62.05,63.1,62.0,62.15,800761
2024-03-04 09:15:00,63.5,63.5,61.5,61.65,1059133
2024-03-05 09:15:00,61.65,62.25,61.5,61.8,683677
2024-03-06 09:15:00,61.8,62.1,59.75,60.25,1605156
2024-03-07 09:15:00,60.45,60.8,60.0,60.2,707240
2024-03-11 09:15:00,61.65,61.65,59.0,59.5,1160312
2024-03-12 09:15:00,59.9,59.9,57.1,57.4,2049780
2024-03-13 09:15:00,57.55,58.05,55.5,55.95,2213702
2024-03-14 09:15:00,56.15,57.6,55.1,57.0,1348043
2024-03-15 09:15:00,57.55,57.9,56.2,57.4,770606
2024-03-18 09:15:00,57.5,58.1,56.9,57.3,801982
2024-03-19 09:15:00,57.3,58.3,57.15,57.6,965811
2024-03-20 09:15:00,57.9,58.05,57.5,57.5,820843
2024-03-21 09:15:00,58.0,58.0,56.95,57.1,973567
2024-03-22 09:15:00,57.45,57.85,57.05,57.3,1186018
2024-03-26 09:15:00,57.3,57.35,55.4,55.6,2175799
2024-03-27 09:15:00,55.6,56.0,53.35,53.6,2804765
2024-03-28 09:15:00,53.95,55.5,53.3,54.45,3086530
2024-04-01 09:15:00,55.0,58.45,54.95,57.85,975191
2024-04-02 09:15:00,58.0,59.8,57.8,58.9,1355752
2024-04-03 09:15:00,59.5,60.25,58.9,59.05,1499538
2024-04-04 09:15:00,59.95,63.8,59.65,62.35,3345984
2024-04-05 09:15:00,62.5,64.35,62.5,63.7,4075228
2024-04-08 09:15:00,63.8,64.3,62.1,62.35,1822743
2024-04-09 09:15:00,62.35,62.4,59.0,60.25,1093463
2024-04-10 09:15:00,60.9,62.3,60.0,61.4,755942
2024-04-12 09:15:00,61.35,61.75,60.5,61.1,598300
2024-04-15 09:15:00,58.35,60.95,58.35,60.45,868578
2024-04-16 09:15:00,59.9,60.6,59.75,59.95,513232
2024-04-18 09:15:00,60.6,60.65,59.5,59.7,372290
2024-04-19 09:15:00,58.6,59.95,58.5,59.7,417133
2024-04-22 09:15:00,60.3,63.15,60.1,60.85,1230440
2024-04-23 09:15:00,61.3,61.5,60.5,60.9,671433
2024-04-24 09:15:00,60.8,61.6,60.75,61.45,425774
2024-04-25 09:15:00,61.45,62.1,61.1,61.7,444433
2024-04-26 09:15:00,62.2,62.25,61.4,62.05,585180
2024-04-29 09:15:00,63.0,63.5,62.0,62.1,731608
2024-04-30 09:15:00,62.25,62.5,61.5,61.7,536152
2024-05-02 09:15:00,62.0,64.5,61.5,63.65,1985747
2024-05-03 09:15:00,63.95,63.95,61.5,62.3,935711
2024-05-06 09:15:00,62.8,62.95,59.85,61.05,1126279
2024-05-07 09:15:00,61.25,61.5,59.75,60.4,688992
2024-05-08 09:15:00,60.95,61.0,59.7,59.9,763508
2024-05-09 09:15:00,56.5,57.4,55.5,56.15,3351054
2024-05-10 09:15:00,56.5,56.5,55.05,55.35,1379260
2024-05-13 09:15:00,55.7,55.7,53.9,54.95,1230753
2024-05-14 09:15:00,55.75,55.85,54.4,54.8,889392
2024-05-15 09:15:00,55.2,55.75,54.5,54.7,764845
2024-05-16 09:15:00,55.15,55.25,54.45,54.55,603508
2024-05-17 09:15:00,55.0,55.2,54.5,54.7,929494
2024-05-21 09:15:00,56.15,56.35,54.3,54.45,1577915
2024-05-22 09:15:00,54.65,55.05,54.15,54.45,1119318
2024-05-23 09:15:00,54.75,54.85,54.2,54.45,812830
